Plant-Generic,2021-01-01_actual,2021-01-01_model,2021-02-01_actual,2021-02-01_model,2021-03-01_actual,2021-03-01_model,2021-04-01_actual,2021-04-01_model,2021-05-01_actual,2021-05-01_model,2021-06-01_actual,2021-06-01_model,2021-07-01_actual,2021-07-01_model,2021-08-01_actual,2021-08-01_model,2021-09-01_actual,2021-09-01_model,2021-10-01_actual,2021-10-01_model,2021-11-01_actual,2021-11-01_model,2021-12-01_actual,2021-12-01_model,2022-01-01_actual,2022-01-01_model,2022-02-01_actual,2022-02-01_model,2022-03-01_actual,2022-03-01_model,2022-04-01_actual,2022-04-01_model,2022-05-01_actual,2022-05-01_model,2022-06-01_actual,2022-06-01_model,2022-07-01_actual,2022-07-01_model,2022-08-01_actual,2022-08-01_model,2022-09-01_actual,2022-09-01_model
3803-10664,3000.0,2999.9617780373883,3500.0,3499.789704603463,3500.0,3500.052882159078,3500.0,3499.965485257577,0.0,-0.32420586854277644,1500.0,1500.0331725223587,3500.0,3499.992541591222,0.0,-0.2738147250856855,5000.0,4999.984362769013,2000.0,1999.9659539038112,3404.0,3403.74732678046,1500.0,1499.986616830989,3800.0,3799.9591638848287,1500.0,1499.778079860771,2000.0,2000.0704268065238,4007.0,4006.9695266373965,0.0,-0.3336858978800592,1800.0,1800.0504724461935,3000.0,2999.9982177118,0.0,-0.28480491706432076,4250.0,4250.001717549174
3803-11326,0.0,308.98045355370414,1124.0,1417.2689555904908,4277.0,3660.401742816186,2926.0,2159.8431929659855,899.0,1140.774884235936,899.0,1406.2337627514207,899.0,1361.641913885731,1797.0,1309.7235167091712,0.0,45.872622909657366,2474.0,2469.866044891991,0.0,0.40688849620710243,0.0,1.7956861747952644,1575.0,1266.1001147689421,2252.0,1951.9236928102873,3151.0,3750.551487405355,899.0,1668.5666360608484,694.0,454.3332892007238,1126.0,620.8409544770257,1348.0,874.8208172857921,0.0,484.26308472929304,0.0,-41.3875276284416
3803-1135,4482.0,5194.3883175679075,0.0,1324.236464466012,4482.0,2557.0863666004007,4482.0,3135.645101189337,0.0,1479.8325529086578,5976.0,6857.291763782792,0.0,642.6568538141146,8964.0,6252.053279983331,2988.0,3858.099871905346,3379.0,3362.5439622086415,0.0,4.723161621717736,13446.0,13444.821946107666,14201.0,13491.900276149885,10458.0,9120.220281922433,7470.0,9359.510317919572,5976.0,7350.583521184977,5976.0,4480.217482365784,13446.0,12567.595448837063,0.0,-688.5199439096032,0.0,2704.5022935313464,8964.0,8100.759694709413
3803-1271,21837.0,21981.97523040534,17347.0,17006.523364171153,0.0,149.1236820781487,27087.0,24380.60484976304,17347.0,17578.840208563604,21808.0,23976.559615219943,17347.0,19886.676648790482,17347.0,17595.89744740748,38712.0,36286.052410894365,0.0,11.59959187975619,17347.0,17344.692246745806,19826.0,19822.19602527714,29761.0,29616.051619230886,17347.0,17687.821063534706,17347.0,17185.970985037624,21837.0,24528.75960581412,0.0,-184.31624048086815,24608.0,22426.912265628227,34694.0,32162.767874108045,23844.0,23553.553775446024,19330.0,21760.853339171153
3803-13515,5155.0,5155.340302475612,1633.0,1632.074523698364,4101.0,4101.787005270424,3154.0,3154.393218957208,3528.0,3527.029586151504,2888.0,2888.8317266181693,3348.0,3348.4252109154477,1017.0,1016.0454353051609,1563.0,1563.869882605184,3690.0,3690.4096518810256,3481.0,3480.0690463766805,3348.0,3348.880237643054,4254.0,4254.416074588546,3661.0,3660.1267032305477,8867.0,8867.840074952954,0.0,0.4767954734270461,5260.0,5259.109171501856,0.0,0.8962529805430677,3527.0,3527.5036230931,2616.0,2615.114367065107,1674.0,1674.9326380954299
3803-13540,0.0,1121.2436949889561,3105.0,2751.9991155123134,0.0,-848.207557710848,0.0,-144.60988261158127,6210.0,3955.624393175567,3105.0,4787.629572932372,0.0,-881.2232312977358,3105.0,5683.596652678276,3105.0,2240.7644547909786,3105.0,3195.894203109583,0.0,-72.21694715922058,0.0,71.63088832629364,9315.0,8133.1866268099475,3105.0,3494.967443909167,3105.0,3897.966084468021,3105.0,3278.7633740134315,0.0,2211.484096684527,9315.0,7686.296584924618,2070.0,2887.561088295159,8281.0,5767.184975322976,3105.0,3870.52097810712
3803-1360,5452.0,4254.603924460869,4011.0,3292.45294340112,2043.0,3966.9347891303332,2206.0,2948.111766339862,0.0,946.2131342575012,3146.0,1613.5817379802174,962.0,1424.2396680607199,3841.0,3499.017582480912,1444.0,1153.597312154161,0.0,-30.833283761909115,1635.0,1662.1738503107626,3309.0,3276.247380334491,1103.0,2313.330157333796,1724.0,2438.2425236608397,9269.0,7369.671914336286,0.0,-770.7520308349049,1635.0,700.7224290727318,0.0,1498.968379368729,0.0,-421.4363030273089,3173.0,3472.159257605963,2206.0,2529.852851971984
3803-13754,1955.0,2087.1398902971778,2297.0,2406.163375187789,8901.0,8590.881992819624,4824.0,2539.862031486591,3101.0,3670.0056261060236,6435.0,7752.266304457924,0.0,2088.995948398806,9710.0,9215.823082106464,7236.0,6148.300488508394,3335.0,3311.7963657714718,0.0,24.178297115577152,15857.0,15832.743872704421,0.0,-108.99966804744327,4082.0,3949.5208928182255,6001.0,6319.399342006072,3733.0,5994.3337286690075,6980.0,6457.82742683182,8682.0,7342.240545821784,12587.0,10518.70978656871,17813.0,18257.543457094638,6955.0,8078.64199809733
3803-14410,4300.0,4239.1689562306055,1720.0,1560.1920931232235,2580.0,2778.4270601840108,6020.0,4965.686066545793,2580.0,2761.750396328469,2580.0,3274.878805975037,2580.0,3616.1813888721954,2580.0,2677.921429989816,3440.0,2520.375650224363,2580.0,2568.4919593004743,2580.0,2598.0417164542305,2580.0,2564.625517953842,2580.0,2659.4415861377056,5160.0,5308.0379177494615,5160.0,4976.831712969724,0.0,1033.4865831439529,5160.0,5012.553600694053,2580.0,1867.3894940375467,2580.0,1567.1403658731579,7740.0,7610.096184374546,0.0,945.1762469894456
3803-1445,4728.0,3757.2329183621478,5301.0,5062.467119211724,2977.0,4257.246075022318,3277.0,2431.470474774629,2791.0,4434.078524325792,3133.0,3074.1789167797833,0.0,1763.4046385026013,7526.0,6131.202289485482,6830.0,5580.811269672158,6549.0,6540.05420850603,4177.0,4211.9380533162475,6103.0,6090.026123655094,2977.0,3959.5801749147286,5138.0,5389.365313888389,5210.0,3941.949408764631,3163.0,3977.5372747620568,5552.0,3944.1184932723845,2460.0,2474.478329438294,4393.0,2638.1611726873816,3833.0,5202.027468045479,2233.0,3546.39795565691
3803-15,21682.0,21683.999960039,15528.0,15523.799329071408,30111.0,30112.70157696266,12549.0,12551.564423932214,14787.0,14783.268603995006,17005.0,17007.19935180647,24103.0,24105.637503489575,10551.0,10547.019240655762,30251.0,30253.706196355983,9296.0,9298.413455360962,13079.0,13074.8537098347,13293.0,13295.481401103665,23437.0,23439.118713618605,19741.0,19736.811092651144,37514.0,37515.518581203156,9362.0,9364.670657125462,20210.0,20206.40006382292,30830.0,30832.040860897396,8222.0,8224.73618295406,18262.0,18258.119392096763,16468.0,16470.570211266982
3803-15467,2949.0,2532.298435949837,3686.0,3340.8471730769306,999.0,1747.5962012330565,2601.0,3154.7504332114113,0.0,167.74594877816708,2601.0,1774.002342748543,999.0,897.6753222408297,2601.0,2701.348601328318,3600.0,3729.0531136110294,0.0,-5.78134304217383,1950.0,1954.7705530032617,0.0,-5.157244026006083,1950.0,2367.324864742157,1408.0,1757.9926033148658,2949.0,2209.0077677446097,2818.0,2259.467403559218,865.0,694.7059433381801,0.0,822.3732033788983,1950.0,2064.932714856506,3948.0,3843.878468614479,5201.0,5079.215543155835
3803-15895,20834.0,20344.56309723432,4542.0,4801.217333434528,2000.0,2269.2012637778826,16710.0,15835.037531170878,12710.0,14147.733258238732,2000.0,1882.7658763139916,13710.0,15056.100938585267,18252.0,16575.859789136506,13710.0,13531.732000610005,0.0,-32.533156306366436,15230.0,15256.409596237907,15710.0,15683.466723922917,5813.0,6319.674024721491,12710.0,12442.373107719774,8084.0,7817.41246562828,12710.0,13578.229195789303,14710.0,13289.671852132306,6062.0,6160.9090079100715,12710.0,11377.246221690497,7084.0,8723.106970875997,19252.0,19471.565545325
3803-16122,14683.0,14099.538817330234,12037.0,11990.78775545604,15075.0,15731.015647604603,8222.0,9689.549787586555,14216.0,14488.06616229158,21727.0,20128.233190779763,18258.0,17398.71990695098,12401.0,12054.242673516768,7091.0,8122.82588290736,12969.0,12955.184047723196,5141.0,5151.825282068388,21256.0,21244.91802809723,9450.0,10043.520767076696,15848.0,15898.688850557142,11643.0,10999.160005527925,13840.0,12379.358603020162,13638.0,13346.814044197701,11432.0,13025.524493249699,23043.0,23914.51832360657,5566.0,5920.0093415756855,16240.0,15218.015429783849
3803-16589,860.0,723.3108421109227,8520.0,8314.819835909318,0.0,312.19102131556065,5620.0,6540.2340088715055,0.0,-250.28182679168458,4000.0,3094.9261630225083,6720.0,5913.5607128493275,0.0,440.9212371536605,0.0,654.7963428732419,6720.0,6708.121993654421,0.0,10.370038846986063,6520.0,6509.595998261404,0.0,146.7608585636117,6720.0,6913.555954160107,1720.0,1428.0134256595848,1720.0,786.4318896936311,5000.0,5249.892215929445,1720.0,2613.515784097777,1720.0,2542.212625974127,5860.0,5419.001107387754,6120.0,5470.190544236
3803-16896,1126.0,575.3565718518512,3557.0,3244.380226378591,2261.0,3130.6787854505237,2800.0,4107.768524655199,0.0,186.8167850546015,17514.0,16055.695189093807,1126.0,416.08232151073753,2043.0,2044.11616863159,2606.0,3267.783830029686,757.0,746.9588351025013,4190.0,4194.660266516381,1058.0,1050.676939713041,5108.0,5657.358392759634,3098.0,3416.3805306541326,3101.0,2240.1727283835644,2148.0,837.0290692701528,2043.0,1839.9442812057387,3065.0,4518.165762196499,1883.0,2602.378509326227,2042.0,2043.1918023012404,3176.0,2515.435927457118
3803-18111,7474.0,7474.661715618262,2007.0,2006.6878506252542,3214.0,3214.3623188237543,1003.0,1003.4967946287506,0.0,-0.3509159990790067,4013.0,4013.2728219224227,3393.0,3393.4501666051074,1003.0,1002.6489937980659,3214.0,3214.195819120956,0.0,0.5408493471913971,6293.0,6292.65474167373,0.0,0.23832579489680938,6156.0,6156.637736206743,6224.0,6223.68161363095,3214.0,3214.391538355878,2714.0,2714.474671868753,4614.0,4613.670503063942,2786.0,2786.3142374249,5578.0,5578.432169946376,3036.0,3035.6680493027816,4507.0,4507.2453388943395
3803-19070,5358.0,5205.164259744241,5893.0,5836.523410423906,12214.0,12418.836387969219,0.0,811.8721986705204,0.0,-229.27386542011664,9108.0,8442.004841310023,0.0,-659.364023855378,5358.0,5602.271716071089,1498.0,2008.3732778274498,14891.0,14886.584357200081,8680.0,8682.672911199727,4286.0,4282.716936630059,0.0,154.01954478216794,5358.0,5414.135538147264,5784.0,5586.420456717144,5358.0,4542.392041346357,3159.0,3382.6920207325456,7128.0,7792.099087883547,7205.0,7868.238063594563,11042.0,10807.207555502866,12267.0,11754.468916919546
3803-1910,2321.0,2424.5569878361325,3714.0,3786.2967562625436,2506.0,2320.70431426685,1393.0,791.5094140667388,2785.0,2903.205169675981,0.0,432.1553540856403,4178.0,4667.362422152837,3714.0,3565.7952425157855,0.0,-277.2860372521318,2361.0,2359.092075291068,0.0,2.2711831325141247,4430.0,4427.67967792452,0.0,-101.70478001893207,4038.0,3963.439602736078,1253.0,1434.915619292995,4682.0,5281.6284471435065,0.0,-109.39081421881565,3250.0,2815.218717810363,13253.0,12763.11211669624,8008.0,8148.677595368703,0.0,280.9241506373801
