Plant-Generic,2021-01-01_actual,2021-01-01_model,2021-02-01_actual,2021-02-01_model,2021-03-01_actual,2021-03-01_model,2021-04-01_actual,2021-04-01_model,2021-05-01_actual,2021-05-01_model,2021-06-01_actual,2021-06-01_model,2021-07-01_actual,2021-07-01_model,2021-08-01_actual,2021-08-01_model,2021-09-01_actual,2021-09-01_model,2021-10-01_actual,2021-10-01_model,2021-11-01_actual,2021-11-01_model,2021-12-01_actual,2021-12-01_model,2022-01-01_actual,2022-01-01_model,2022-02-01_actual,2022-02-01_model,2022-03-01_actual,2022-03-01_model,2022-04-01_actual,2022-04-01_model,2022-05-01_actual,2022-05-01_model,2022-06-01_actual,2022-06-01_model,2022-07-01_actual,2022-07-01_model,2022-08-01_actual,2022-08-01_model,2022-09-01_actual,2022-09-01_model
3803-10664,0.0,808.6727711026324,2903.0,2755.034994945425,6535.0,5888.067047228491,0.0,864.5845961933737,3519.0,2158.7674011722775,1542.0,1906.6431763201144,3529.0,2036.2657010083967,0.0,1352.0234599472824,5008.0,5254.984758415259,1996.0,2068.59826141757,3184.0,3119.805450146061,1552.0,1621.2988457168722,4046.0,3181.184113470368,0.0,196.95516511770984,3665.0,4267.4256938759245,3438.0,2625.0576003850947,0.0,1300.9538533604427,1878.0,1569.0071785337095,1542.0,2972.011578233916,1479.0,198.79127849844372,4301.0,3968.0282986948732
3803-11326,0.0,707.7378777546,1123.0,1506.4809330774515,3827.0,2741.290320296979,2250.0,1548.3588616191373,898.0,842.3172148465055,449.0,1239.7945447549719,1347.0,1385.2542745414394,2245.0,1965.0626114804836,0.0,201.3253347159698,449.0,465.38866158820383,449.0,432.80036300114807,0.0,19.887682718366705,2024.0,1304.4391283194345,1126.0,746.7443735759989,898.0,1960.367193568196,449.0,1172.332351784651,694.0,737.7479287900896,1575.0,801.4758141272978,449.0,382.175086385716,898.0,1195.4400412647883,0.0,-220.43874303317716
3803-1135,0.0,228.66628767977818,0.0,138.02841565731796,0.0,-368.6325916906935,0.0,-440.1110729815846,0.0,5.7554931442427915,0.0,395.5558457535517,0.0,217.5836169118411,0.0,-109.43048696161713,0.0,-60.985598949191626,1940.0,1943.7160250350717,0.0,-1.6169054603087716,0.0,4.160215201613028,9511.0,9284.131710846967,4821.0,4683.72548007709,0.0,364.32211034718785,0.0,446.4821996546816,0.0,-2.24727258796338,0.0,-390.67351297236746,0.0,-220.9755325744336,0.0,112.4409582974913,0.0,61.08381867152639
3803-1271,22216.0,22214.798681322252,17334.0,17332.705404343782,0.0,-2.3946016484405845,27112.0,27110.876849193824,17415.0,17413.446166612906,17452.0,17449.47881171177,21578.0,21577.024541219696,17479.0,17477.684431311674,34786.0,34783.44250730937,0.0,-0.8696104588452727,17425.0,17423.96100400365,19849.0,19846.640716055408,29904.0,29903.153725442477,0.0,-0.9491162823978812,38804.0,38801.99182307697,21930.0,21929.255102048395,0.0,-1.141357225831598,25030.0,25027.90424107015,34777.0,34776.367271714145,4018.0,4017.0574868586846,39498.0,39495.83790708799
3803-13515,0.0,160.49768781666353,197.0,334.02062812902295,2136.0,1829.8819967254894,1857.0,1635.7531634356128,1017.0,995.5004608439631,1017.0,1198.025094818695,887.0,942.8860212156214,1017.0,932.8977812422381,613.0,719.8665307717529,0.0,-0.5908164017528179,393.0,394.0776748281569,0.0,0.7452739560467307,868.0,709.8990541456806,2427.0,2287.2321827363776,607.0,911.9515957510885,976.0,1199.4019930928553,1710.0,1733.607194821001,0.0,-179.30429969584657,835.0,776.9005292173242,1845.0,1930.7536028276736,668.0,562.2456874885029
3803-13540,0.0,1412.0488865742518,2070.0,2651.7572810979764,2070.0,37.20625987566018,0.0,-356.7223251070245,5175.0,4035.581268884518,2070.0,3114.943703698955,2070.0,1165.5034709923784,2070.0,2595.8350900745427,2070.0,2971.5012699348154,3105.0,3162.1862909667398,2070.0,2017.7685544757114,0.0,62.949427435174584,9315.0,7864.568395205861,3105.0,2555.093058318118,2070.0,4054.1008315341896,2070.0,2487.58431331045,2070.0,3166.0556554276263,8281.0,7299.378151423167,3105.0,3946.899113695894,2070.0,1621.8408352129627,9316.0,8353.112245029493
3803-1360,3164.0,2569.9292900594937,1564.0,1158.446367081142,2058.0,3058.7037263419534,1083.0,2060.4223903608854,0.0,202.97709348207718,3755.0,2602.8824117663644,602.0,204.03013701069722,1677.0,1835.93672776508,722.0,930.2013244719674,602.0,582.9664691735634,2108.0,2123.6661006941795,722.0,702.5426930808026,1344.0,1947.9770394252373,749.0,1145.8755341178403,2186.0,1207.4294576075135,3154.0,2155.9735024921774,1693.0,1492.9730403656322,0.0,1130.9880891729372,0.0,422.4837019406332,3221.0,3045.504429838622,0.0,-193.5541238199985
3803-13754,1267.0,1265.7181862574653,2645.0,2644.3971243506094,6635.0,6636.6289768594725,4326.0,4324.6940770071815,4584.0,4582.990371691849,1357.0,1358.5242870946386,8124.0,8122.692812002511,3624.0,3623.0254871760553,6997.0,6998.39122681076,7140.0,7138.585277973478,2409.0,2408.0835014989934,10870.0,10871.389106725335,1431.0,1429.515212436927,1898.0,1897.1599992504925,8168.0,8169.435673803953,4354.0,4352.523526302221,8806.0,8804.765164143386,8514.0,8515.35192764788,9871.0,9869.524267586028,16126.0,16124.793428575464,8836.0,8837.229587530172
3803-1445,7331.0,7326.410265982966,5294.0,5273.804459276376,2908.0,2938.9186835167347,1044.0,745.6588405380608,0.0,127.6504007523763,5911.0,6100.757495075639,0.0,301.3043992893072,3438.0,3342.412325365003,9957.0,9722.85905780131,3158.0,3156.451871568628,6692.0,6693.092603238067,3091.0,3090.0783877838403,5107.0,5113.425695516518,2263.0,2280.905274927616,6822.0,6793.033312160696,0.0,296.1827416206943,3174.0,3050.5314212251687,8026.0,7835.471604851889,0.0,-299.8505656468915,8281.0,8368.280596768425,2163.0,2402.7855090504163
3803-15,21608.0,21609.754170222528,11774.0,11771.729245550901,27431.0,27431.213382169088,17408.0,17409.43555196465,10381.0,10379.881186703897,23133.0,23133.455988451984,19184.0,19185.327435134423,9433.0,9431.441007362831,24310.0,24310.63831230315,7171.0,7172.462138309416,13064.0,13062.075290735393,16268.0,16268.469082020902,23622.0,23623.55048595119,17854.0,17851.67889829987,24385.0,24384.979078721182,14599.0,14600.207493303496,21332.0,21330.850329610963,19626.0,19626.206045627332,14383.0,14384.113864578838,10716.0,10714.421958085099,22417.0,22417.40753229453
