,0
3835-26509,1.556_0.945
3835-24113,1.744_0.822
3809-24880,0.076_1.0
3835-10497,0.529_0.999
3835-1689,1.202_0.997
3835-10723,0.373_0.996
3835-7033,1.223_0.997
3835-22357,0.542_0.994
3835-26751,1.12_0.998
3835-4296,2.0_0.935
3835-24532,1.698_0.988
3809-25005,0.995_0.998
3841-15847,1.387_1.0
3841-25005,0.877_0.851
3809-24276,0.654_0.961
3833-23105,2.0_0.998
3809-7203,0.478_0.991
3835-25006,1.258_0.993
3835-18548,0.657_0.952
3835-18550,0.326_0.94
3809-20370,0.657_0.962
3835-1688,1.256_0.844
3803-24880,1.143_0.929
3811-26751,1.406_0.988
3811-24276,0.37_0.923
3835-2618,0.334_1.0
3809-11089,1.085_0.888
3833-24276,1.325_0.784
3841-7053,0.665_0.971
3809-23232,0.774_0.997
3811-18271,0.219_0.945
3811-16122,0.906_0.992
3835-18009,1.519_0.987
3811-26637,1.735_0.939
3809-2238,1.167_0.993
3809-15,0.395_0.995
3841-24880,1.486_0.97
3809-31719,0.703_0.991
3833-22415,2.0_0.98
3841-15,0.142_1.0
3835-2679,1.116_1.0
3809-18650,1.01_0.958
3811-26291,2.0_0.987
3811-2238,0.551_0.999
3809-20169,0.411_0.994
3833-26169,1.092_0.84
3841-24660,0.641_0.97
3803-26637,0.976_0.932
3811-22548,1.06_0.989
3811-24880,2.0_0.977
3841-5598,1.422_0.993
3809-26638,0.623_0.987
3803-26001,2.0_0.938
3809-19696,0.457_0.998
3811-2294,0.881_0.988
3803-2238,0.796_0.826
3809-26001,1.597_0.96
3811-2397,1.015_0.947
3803-27192,0.521_0.954
3803-21778,0.979_0.913
3811-25005,0.371_1.0
3803-15,0.662_1.0
3811-25876,1.191_0.978
3811-25106,0.631_0.998
3811-10283,1.624_0.769
3841-24788,0.254_1.0
3803-1271,1.376_0.988
3811-15,1.079_0.914
3811-30573,0.465_1.0
3811-24788,0.974_0.953
3811-25881,0.783_0.999
3811-2394,0.803_0.993
3803-3601,2.0_0.976
3835-9723,0.531_0.974
3809-2554,1.002_0.976
3811-9506,1.132_0.981
3809-9706,0.476_0.996
3809-18907,0.136_1.0
3809-26954,0.558_0.956
3809-14946,1.013_0.903
3809-26291,1.154_0.988
3809-13410,1.239_0.953
3809-25130,1.398_0.978
3809-2294,0.364_1.0
3835-7704,1.117_0.997
3811-25912,1.041_0.992
3835-25004,1.925_0.956
3809-4645,0.839_0.967
3809-24788,0.914_0.936
3803-25144,1.42_0.902
3841-7203,0.374_1.0
3809-8939,0.888_0.951
3811-26398,0.728_0.953
3809-22249,0.523_1.0
3809-2386,0.393_0.996
3809-2384,2.0_0.86
3803-26502,0.199_1.0
3809-4626,1.012_0.992
3841-24276,0.745_0.837
3835-2617,1.008_0.989
3811-24431,1.328_0.927
3809-8812,0.373_0.996
3809-2295,0.809_0.974
3803-30889,0.592_0.997
3811-13752,0.123_1.0
3803-24276,2.0_0.923
3803-16122,1.181_0.985
3809-4570,0.48_1.0
3811-1258,0.339_1.0
3809-25144,0.387_1.0
3809-11088,1.241_0.986
3811-26838,1.212_0.964
3809-26637,1.154_0.892
3833-31066,2.0_0.949
3809-9736,0.907_0.97
3809-25141,1.277_0.802
3811-18273,0.979_0.933
3811-30619,0.747_1.0
3811-20769,1.506_1.0
3803-15895,0.816_0.99
3841-5675,1.232_0.914
3809-21047,1.939_0.984
3841-26001,0.716_0.994
