,0
3809-2384,1.525_0.94
3809-24880,0.457_0.98
3835-26751,1.225_0.99
3809-25005,0.396_1.0
3835-9037,1.646_0.977
3841-25005,0.758_0.925
3809-24276,0.258_1.0
3835-24798,1.215_0.935
3841-15847,1.996_0.99
3809-7203,1.331_0.995
3811-9037,1.024_0.98
3833-23105,2.0_0.994
3835-10723,1.034_0.963
3809-20370,0.352_0.999
3811-26751,1.505_0.999
3835-18273,0.087_1.0
3811-24276,0.451_0.996
3833-24276,1.511_0.941
3809-23232,1.345_0.986
3841-7053,0.134_1.0
3809-2238,0.735_0.898
3809-15,1.14_0.994
3835-18272,0.524_0.923
3809-1438,1.252_0.965
3809-31719,0.547_0.995
3803-2384,1.146_0.935
3809-11089,0.747_0.991
3803-24880,0.785_1.0
3809-25069,0.64_0.998
3841-24660,0.763_0.969
3835-18009,0.447_1.0
3833-26169,1.109_0.83
3841-24880,0.377_1.0
3833-22415,2.0_0.931
3835-25006,1.441_0.963
3809-20169,0.749_0.946
3841-5598,0.135_1.0
3809-18650,0.777_0.912
3809-26638,0.615_0.987
3811-2294,0.374_0.996
3809-19696,0.317_1.0
3803-21778,1.237_0.981
3809-25006,1.568_0.864
3803-27192,1.556_0.995
3803-26637,0.965_0.846
3803-2238,1.082_0.9
3811-26637,0.659_0.995
3809-26001,1.529_0.96
3803-26001,0.905_0.991
3811-25106,0.47_0.998
3811-22548,0.459_0.995
3811-2238,0.637_0.88
3841-24788,0.092_1.0
3803-1271,0.329_1.0
3811-10283,1.039_0.848
3811-26291,2.0_0.951
3811-25005,0.573_0.999
3803-15,0.454_1.0
3811-24788,1.426_0.999
3809-9706,0.821_0.996
3803-6661,0.637_0.965
3809-8803,1.478_0.985
3809-2554,1.106_0.988
3809-26954,0.989_0.964
3841-15,0.669_0.928
3811-18271,0.549_0.997
3809-18907,0.273_1.0
3809-2294,1.626_0.931
3811-24391,0.22_1.0
3809-2012,0.867_0.981
3811-2397,0.934_0.999
3841-7203,1.536_0.998
3809-14946,0.322_1.0
3809-13410,1.236_0.939
3809-4645,0.863_0.972
3809-25130,0.344_0.962
3809-24788,1.323_0.973
3811-10227,0.735_0.998
3809-2386,0.06_1.0
3809-22249,1.167_0.991
3841-24276,0.65_0.858
3835-25004,2.0_0.996
3809-8939,0.697_0.984
3811-25881,1.176_0.927
3809-2134,0.482_0.995
3809-26291,0.888_0.909
3809-4626,0.534_0.998
3841-6661,1.107_0.933
3809-4570,0.61_0.98
3809-8812,0.125_1.0
3803-30889,0.552_0.998
3811-25912,0.802_0.994
3809-2295,0.858_0.976
3811-1258,0.255_0.949
3811-13752,0.064_1.0
3811-16122,1.017_0.951
3811-24880,1.686_0.976
3803-24276,0.67_0.94
3809-11088,1.682_0.969
3809-4102,1.566_0.895
3809-1668,1.797_0.991
3811-30422,1.083_0.986
3833-31066,2.0_0.975
3809-25144,0.206_1.0
3809-26637,0.612_0.99
3809-25141,0.892_0.976
3811-2394,0.772_0.959
3811-15,1.231_0.889
3811-30619,1.356_0.942
3809-9736,1.252_0.938
3809-1506,1.52_0.95
3809-1661,0.365_0.979
3841-5675,0.317_1.0
3841-26001,0.736_0.987
3809-21047,0.484_1.0
3811-18273,1.226_0.91
3809-25001,1.244_0.995
3811-20769,1.39_0.995
3803-3601,0.213_1.0
3809-9763,0.419_0.855
3809-10358,1.123_0.972
3809-9758,1.237_0.952
3809-22690,0.757_0.943
3809-23111,1.001_0.993
3833-30889,0.556_0.977
3833-31719,1.073_0.982
3811-25894,0.385_0.996
3809-4033,1.192_0.983
3809-18125,1.13_0.993
3803-7285,1.29_0.985
3809-5556,0.469_0.995
3809-4719,0.421_0.998
3841-24787,1.496_0.975
3811-24431,1.546_0.997
3833-26637,1.351_0.989
3809-25149,1.341_0.948
3809-9949,2.0_0.984
3803-2877,2.0_0.958
3803-6697,0.206_0.912
3809-2397,0.592_1.0
3809-6697,1.411_0.919
3833-26348,2.0_0.935
3809-5675,0.341_0.93
3809-23128,0.56_0.999
3809-23127,0.225_1.0
3809-2394,0.203_1.0
3809-3787,0.652_0.945
3809-2296,1.075_0.829
3809-2678,1.488_0.981
3811-22249,0.974_0.833
3803-8568,0.335_0.973
3809-20781,0.912_0.813
3809-26631,2.0_0.803
3809-4969,1.005_0.964
3809-4625,0.317_0.999
3811-31110,0.589_0.997
3803-1506,0.877_0.863
3811-30807,1.151_0.815
3809-19126,0.533_1.0
3809-25137,0.81_1.0
3809-25955,0.454_0.998
3803-26291,0.601_0.998
3841-9758,0.342_1.0
3811-25876,0.124_1.0
3811-25880,1.428_0.983
3833-25001,1.282_1.0
3811-2386,1.06_0.965
3809-2321,1.596_0.989
3809-2308,1.268_0.978
3803-25876,1.536_0.989
3841-19614,0.174_1.0
3841-24743,0.523_1.0
3809-4662,0.913_0.94
3809-10316,0.71_0.998
3811-10751,1.01_0.972
3803-25006,1.054_0.912
3803-5283,1.539_1.0
3809-24391,0.148_0.979
3809-16122,1.302_0.918
3811-2969,2.0_0.98
3803-19126,0.751_0.999
3809-24755,0.812_0.998
3803-26650,1.689_0.998
3809-922,0.965_0.775
